Story,Umbrella,GeographicArea,Neighborhoods,SocialAbstract
https://www.publicsource.org/pittsburgh-seniors-black-dementia-alzheimers-caregiver-respite/,Pittsburgh,Upper East End,"Swissvale, Larimer","""Amidst Pittsburgh's aging population and rising dementia rates, Black families bear a heavy caregiving burden. Are they getting enough support? #DementiaCare #PittsburghHealth"""
https://www.publicsource.org/pittsburgh-planning-commission-inclusionary-zoning-iz-charland-gainey-affordable-housing/,Pittsburgh,"Upper East End, Central Pittsburgh","Polish Hill, Bloomfield, Lawrenceville, Oakland","""Is rushing inclusionary zoning in Pittsburgh a mistake? City Planning Commission fears lack of public outreach in affordable housing decisions. #DevelopPGH #HousingDebate"""
https://www.publicsource.org/allegheny-county-health-board-new-members-sara-innamorato-appointees/,Allegheny County,Central Pittsburgh,"Homewood, Hill District, Hazelwood, Wilkinsburg, Penn Hills, Duquesne, Braddock, Clairton, McKeesport","""Meet Allegheny County's almost entirely new health board! Their first meeting highlighted calls for data on health disparities and improved communication. #PublicHealth #Transparency"""
https://www.publicsource.org/smithfield-street-church-repairs-downtown-pittsburgh-revitalization-development/,Pittsburgh,Central Pittsburgh,Downtown,Help save a piece of Pittsburgh's history! The iconic Smithfield Street Church needs community aid to fund $10M in crucial repairs. #PreservePittsburgh🏛️🔨💒
https://www.publicsource.org/pittsburgh-most-wanted-graffiti-writer-max-gonzales-muralist-essay/,"Pittsburgh, Allegheny County",Upper East End,"Garfield, New Kensington, Bloomfield, Observatory Hill, Central Lawrenceville, Swissvale, Rankin, South Side","""From notorious graffiti artist to celebrated muralist, see how Max Gonzales paints a new path despite his past legal woes.🎨 #ArtRedemption"""
https://www.publicsource.org/pittsburgh-parties-protest-donald-trump-inauguration-mlk-day/,"Pittsburgh, Allegheny County",Upper East End,"Shaler, East Liberty, Oakland, Downtown, Swissvale","As Trump takes office on MLK Day, Pittsburgh reacts with both celebration & protest. Explore the city's diverse responses in our latest piece."
https://www.publicsource.org/downtown-pittsburgh-transformation-six-key-data-points/,Pittsburgh,Central Pittsburgh,Downtown,"""Pittsburgh's downtown is evolving. Discover the 6 key data points shaping the Golden Triangle's post-pandemic transformation. Can it be more than office towers?"""
https://www.publicsource.org/allegheny-county-jail-opioid-use-disorder-moud-program-evolution/,"Pittsburgh, Allegheny County",North Side,"Downtown, North Side","""Improvements underway at Allegheny County Jail's addiction program: no more midnight dosing and a new public oversight dashboard is in place. #HealthReforms #PublicOversight"""
https://www.publicsource.org/inclusionary-zoning-pittsburgh-competing-proposals-gainey-charland-planning-commission/,Pittsburgh,"Upper East End, Central Pittsburgh, West End","Polish Hill, Bloomfield, Lawrenceville, Oakland","""Mayor Gainey vs. Councilor Charland: Who has the best solution for affordable housing in Pittsburgh? Find out as the Planning Commission prepares to vote!"""
https://www.publicsource.org/pittsburgh-employment-felony-conviction-error-braddock-inclusion-project/,"Pittsburgh, Allegheny County",North Side,Braddock,"""Discover why a simple error cost Isaac Bunn a decade of potential Pittsburgh jobs, and how he turned this setback into resilience."""
https://www.publicsource.org/trump-refugee-resettlement-policy-pittsburgh-immigration/,Pittsburgh,North Side,East Allegheny,"""Pittsburgh's thriving refugee communities face uncertain future as new presidential order halts their growth. How will this impact our city's economy and culture?"""
https://www.publicsource.org/as-the-trump-administration-changes-america-we-want-to-know-how-its-affecting-pittsburghers/,Pittsburgh,North Side,East Allegheny,"""Feeling the Trump effect in Pittsburgh? Share your story with PublicSource as we explore the impact of Washington's policy shifts on our community."""
https://www.publicsource.org/pittsburgh-queer-history-landmark-preservation-review-commission-lgbtq-activists/,Pittsburgh,"Hill District, Central Pittsburgh, Upper East End, South Pittsburgh",Polish Hill,"""Will Pittsburgh's potential first queer history landmark, Donny's Place, be saved? Historic Review Commission to decide from Feb. 5. Stay tuned!"""
https://www.publicsource.org/pittsburgh-international-students-college-university-donald-trump-executive-order-fears/,Pittsburgh,North Side,Oakland,"""International students in Pittsburgh face uncertainty as Trump's return to office brings new measures affecting noncitizens. #StudentLife #ImmigrationPolicy"""
https://www.publicsource.org/inclusionary-zoning-pittsburgh-city-planning-commission-votes-council-mayor-gainey/,Pittsburgh,"Upper East End, Central Pittsburgh","Bloomfield, Polish Hill, Strip District","""Pittsburgh's City Planning Commission endorses Mayor Gainey's proposal for affordable units in new, larger constructions after an 11-hour debate. #InclusionaryZoning #AffordableHousing"""
https://www.publicsource.org/federal-funding-grant-loan-pause-stop-trump-administration-pittsburgh-programs/,Pittsburgh,Central Pittsburgh,Golden Triangle,"""Trump's freeze on federal grants thawed, easing Pittsburgh's anxiety. But is the funding fight truly over? Stay tuned for updates."""
https://www.publicsource.org/pennsylvania-doctors-health-care-providers-pittsburgh-pennsylvania-shapir/,Pittsburgh,Upper East End,Bloomfield,"""Lost your local doc? New law aims to keep physicians in town and stop health systems from keeping patients in the dark!"""
https://www.publicsource.org/allegheny-county-property-taxes-assessment-lawsuit-countywide-revamp/,Pittsburgh,Central Pittsburgh,Golden Triangle,"""Churchill homeowner's lawsuit demands sweeping revamp of Allegheny County's property assessments, alleging state constitution violation. #PropertyTaxReform"""
https://www.publicsource.org/garfield-community-garden-pittsburgh-relationships-countering-cynicism-essay/,Pittsburgh,Upper East End,"East Liberty, Friendship, Garfield","Discover how community gardening could mend our divided nation, fostering new relationships and confidence. Join us in sowing seeds of unity! #CommunityGardening 🌱🥚"
https://www.publicsource.org/ed-gainey-corey-oconnor-campaign-fundraising-pittsburgh-mayor-race-2025/,Pittsburgh,Lower East End,"Point Breeze, Hazelwood","""Neck-and-neck in campaign fundraising, Gainey and O'Connor are set for a thrilling Democratic primary race for Pittsburgh's Mayor. Who'll take the lead? Stay tuned!🏁🗳️"""
https://www.publicsource.org/pittsburgh-2050-comprehensive-plan-neighborhoods-input/,Pittsburgh,West End,Sheraden,"""Help shape Pittsburgh's future! Share your ideas for our first-ever comprehensive city plan. Be part of the change. We need to hear from you!"""
https://www.publicsource.org/pittsburgh-businesses-day-without-immigrants-protest-trump-deportation/,Pittsburgh,South Pittsburgh,Beechview,"Over 60 Pittsburgh businesses shut down in ""A Day Without Immigrants"" protest against Trump's deportation push. A city united in solidarity. #DayWithoutImmigrants"
https://www.publicsource.org/developmental-disability-diagnoses-pittsburgh-allegheny-county-economy-job-one/,Pittsburgh,"South Pittsburgh, North Side","Brookline, Spring Hill-City View","""Developmental disabilities are on the rise, impacting individuals and the economy. Discover how early evaluations can unlock potential and transform anxiety into aid."""
https://www.publicsource.org/pittsburgh-publicsource-interns-2025-steel-city-east-midwest/,Mckees Rocks,Central Pittsburgh,Golden Triangle,"Is Pittsburgh East or Midwest? Join the debate with PublicSource's interns, exploring the Steel City's regional character through diverse perspectives. #PittsburghIdentity"
https://www.publicsource.org/pittsburgh-protest-against-donald-trump-elon-musk-john-fetterman/,Pittsburgh,North Side,East Allegheny,"""Pittsburghers rally against Sen. Fetterman's support for Trump, echoing national discontent. Join the conversation on The Glimpse!"""
https://www.publicsource.org/pennsylvania-pjm-josh-shapiro-settlement-electricity-prices-green-energy-projects-grid/,Pittsburgh,Central Pittsburgh,Golden Triangle,"""Price hikes on Pennsylvania's power grid may stabilize, but the green energy revolution waits in line. #CleanEnergy #GridChallenges"""
https://www.publicsource.org/pittsburgh-city-of-asylum-writer-refugee-venezuela-giving-back/,Pittsburgh,Upper East End,Friendship,"""Pittsburgh embraced me when publishers shunned me. Now, as an author, I'm giving back to my adopted city through radical charity."" #PittsburghLove #AuthorGivingBack"
https://www.publicsource.org/downtown-pittsburgh-homeless-encampments-replaced-boulders/,Pittsburgh,North Side,Allegheny Center,"""Pittsburgh's controversial solution to homelessness: replacing tent encampments with boulders. Is it safety or exclusion? Join the debate. #Pittsburgh #Homelessness"""
https://www.publicsource.org/pittsburgh-air-quality-asthma-attacks-key-takeaways/,Rankin,North Side,East Allegheny,"""Asthma-related ER visits dip in Allegheny County, but is the air truly clearer? Find out more about ongoing enforcement efforts and air quality data."""
https://www.publicsource.org/allegheny-county-asthma-attacks-er-visits-advocates-industry-air-health/,West Mifflin,North Side,Brighton Heights,"Despite a decrease in asthma attacks and improved air quality in Pittsburgh, advocates continue to push for answers on industry's health impact. #CleanAirNow 🌬️🏭"
https://www.publicsource.org/pittsburgh-allegheny-pennsylvania-homeless-housing-program-500-innamorato-gainey/,Pittsburgh,Central Pittsburgh,Golden Triangle,"""Halfway into Allegheny County's 500-in-500 initiative, are we on track to house our unhoused? Find out what officials and observers think! #AffordableHousing"""
https://www.publicsource.org/pennsylvania-nonprofit-reading-intervention-tutoring-dyslexia-proficiency/,Pittsburgh,"Hill District, Lower East End","Bedford Dwellings, Point Breeze","Struggling with reading? One tutoring program offers a fun, active approach that's helping kids overcome the literacy gap! #EducationInnovation 📚🔤🏀"
https://www.publicsource.org/medical-bill-invoice-errors-reimbursement-letters-ceos-pittsburgh/,Pittsburgh,Lower East End,Squirrel Hill North,"""Defeating inflated healthcare bills, one CEO letter at a time. Juliet Zavon shares her unique approach to tackling medical bill nightmares. #HealthcareHacks"""
https://www.publicsource.org/allegheny-county-property-tax-reassessment-lawsuit-decision-dismiss-pittsburgh-schools-pps/,Pittsburgh,Central Pittsburgh,Golden Triangle,"""Pittsburgh Public Schools' fight for property tax reassessment isn't over, despite the recent lawsuit dismissal. Stay tuned!"""
https://www.publicsource.org/pittsburgh-work-labor-unions-nlrb-starbucks-post-gazette-strike-trump/,Pittsburgh,"Upper East End, North Side","Bloomfield, Larimer, North Shore","""Facing a weakened NLRB under Trump, Pittsburgh's industrious unions navigate new challenges. How will they fare? Stay tuned for more. #PittsburghUnions #LaborRelations"""
https://www.publicsource.org/pittsburgh-allegheny-approach-to-work-changed-pandemic-callout/,Pittsburgh,North Side,East Allegheny,"""From pandemic home-offices to new tech transformations, how has your Pittsburgh work life evolved in the last 5 years? Share your story with PublicSource!"""
https://www.publicsource.org/pittsburgh-pennsylvania-labor-history-key-moments-nlrb-trump/,Pittsburgh,Central Pittsburgh,Golden Triangle,"""Discover 6 pivotal clashes in Pittsburgh's labor history. From inspiring speeches to intense gun battles, will new policy shifts write the next chapter?"""
https://www.publicsource.org/nonprofits-pittsburgh-uncertainty-trump-orders-federal-funding/,Pittsburgh,North Side,Perry South,"""Can the 'sleeping giant' nonprofit sector survive amidst federal funding disruptions? Peggy Outon weighs in on the crisis threatening public charities. #NonprofitVoice"""
https://www.publicsource.org/teacher-shortage-staffing-pittsburgh-emerging-educators-labor-work/,Pittsburgh,South Pittsburgh,"Beechview, Banksville","""Facing a huge teacher shortage, can Pittsburgh's revamped Emerging Educators program be the lifeline for the city's struggling school district? #EducationCrisis #PittsburghSchools"""
https://www.publicsource.org/pittsburgh-work-union-labor-workforce-healthcare-health-care-upmc-ahn-nurses/,Pittsburgh,"Upper East End, North Side","Friendship, Bloomfield, Central Northside","""Pittsburgh hospital workers are reshaping pay and staffing post-pandemic through vigorous union action. Their efforts are curbing a historic staffing crisis. #LaborWins #PittsburghStrong"""
https://www.publicsource.org/university-pittsburgh-internet-web-diversity-dei-removal-scrub-dear-colleague-letter-trump/,Pittsburgh,North Side,East Allegheny,"""Diversity-focused content vanishes from Pitt and CMU websites! What's behind this sudden digital scrubbing? Find out more!"""
https://www.publicsource.org/work-pittsburgh-labor-unions-diversity-dei-carpenters-construct-funeral-directors-jobs/,Pittsburgh,"Upper East End, Lower East End","East Liberty, Hazelwood","""Diversifying trades in Pittsburgh isn't about DEI, it's smart business. Discover how outreach to women and minorities is filling workforce gaps. #PittsburghAtWork"""
https://www.publicsource.org/pittsburgh-monvalley-settlement-funds-pollution-ussteel-clairton/,Pittsburgh,North Side,East Allegheny,First funds from $4.5M Clairton Coke Works fire settlement now boosting air quality & public health projects. Round two applications open in March! 💨🌳💪 #AlleghenyCounty #USSteelSettlement
https://www.publicsource.org/pittsburgh-green-energy-hub-workers-employment-labor-work/,Turtle Creek,North Side,Chateau,Could Pittsburgh be the next green energy capital? It's all up to the workforce. Join the conversation on the city's future in sustainability.
https://www.publicsource.org/refugee-resettlement-donald-trump-pittsburgh-pennsylvania-hello-neighbor-syria/,Pittsburgh,Central Pittsburgh,Golden Triangle,"A Syrian family clings to hope in Pittsburgh amid resettlement chaos, father injured, mother pregnant, daughters out of school for years. #RefugeeCrisis #FundingStoppage"
https://www.publicsource.org/labor-government-pittsburgh-gainey-oconnor-trump-development-zoning-boards/,Pittsburgh,"Upper East End, South Pittsburgh, North Side, Central Pittsburgh","Larimer, Carrick, Manchester, Chateau, Strip District","""Pittsburgh's labor leaders stand as pillars, safeguarding worker priorities amidst federal opposition. Discover their brick-and-mortar defense strategy!"""
https://www.publicsource.org/pittsburgh-public-schools-facilities-plans-feasibility-report-closures/,Pittsburgh,"Upper East End, South Pittsburgh, North Side, Lower East End","Friendship, Brookline, Manchester, Greenfield, Arlington","""Superintendent backs controversial plan to close 14 Pittsburgh Public Schools. Is this the future of districtwide overhaul? #PPS #EducationReform"""
https://www.publicsource.org/ai-labor-union-contracts-pittsburgh-work/,Pittsburgh,Upper East End,Larimer,"""Pittsburgh's labor unions clash over AI: some protect workers from tech advancements, while others push for rapid adoption. Join the conversation now!"""
https://www.publicsource.org/research-funding-grant-nih-health-university-pittsburgh-pitt-trump/,Pittsburgh,Lower East End,South Oakland,"""Pittsburgh's crucial health research at risk as Trump's federal cuts threaten funding. Can these vital studies survive? #HealthResearch #FundingCuts"""
https://www.publicsource.org/pittsburgh-work-remote-hybrid-pandemic-covid-employment-audience-response-trump/,Pittsburgh,Upper East End,"East Liberty, Morningside","""Despite opposition from Trump and Musk, Pittsburgh embraces the remote work revolution. Find out why it's a hit five years post-pandemic! #PittsburghAtWork"""
https://www.publicsource.org/allegheny-county-child-care-children-department-pittsburgh-tuition-staff-innamorato/,Pittsburgh,"South Pittsburgh, Lower East End","Carrick, Point Breeze, Point Breeze North","""Allegheny County boosts child care spending, but will it be enough? Uncertain future funding and rising costs still loom large."" #LocalNews #ChildCareCrisis"
https://www.publicsource.org/the-glimpse-pittsburghers-rally-for-ukraine-amid-trumps-criticism-of-zelenskyy/,Pittsburgh,North Side,East Allegheny,"Pittsburghers unite, waving Ukrainian flags and sharing stories, in powerful rally amid Trump's criticism of Ukraine's President Zelenskyy. #PittsburghStandWithUkraine 🇺🇦🤝🇺🇸"
https://www.publicsource.org/pittsburgh-mayoral-primary-2025-candidate-highlights-achievements-endorsements-democrat-republican/,Pittsburgh,North Side,Perry North,"""Get in the know for Pittsburgh's hotly contested mayoral race! Meet the candidates: Gainey, O'Connor, Moreno, and West. Stay engaged, your city needs you!"""
https://www.publicsource.org/pittsburgh-mayoral-primary-2025-candidate-highlights-achievements-endorsements-thomas-west/,Pittsburgh,Upper East End,"East Liberty, Highland Park","""Meet Thomas West: your neighborhood clothing store owner turned mayoral candidate. Can he stitch together a new future for Pittsburgh? Find out more!"""
https://www.publicsource.org/pittsburgh-mayoral-primary-2025-candidate-highlights-achievements-endorsements-tony-moreno/,Pittsburgh,North Side,Brighton Heights,"""Get to know Tony Moreno: retired cop, public safety advocate, and Republican contender in Pittsburgh's rare two-party mayoral primary. Your vote matters on May 20!"""
https://www.publicsource.org/pittsburgh-mayoral-primary-2025-candidate-highlights-achievements-endorsements-corey-oconnor/,Pittsburgh,Lower East End,Point Breeze,"""Get the scoop on mayoral candidate Corey O'Connor before Pittsburgh's May 20 primary - it's an exciting race on both sides this year!"""
https://www.publicsource.org/pittsburgh-mayoral-primary-2025-candidate-highlights-achievements-endorsements-ed-gainey/,Pittsburgh,Central Pittsburgh,Golden Triangle,"""Who will steer Pittsburgh's future? Get the lowdown on incumbent Mayor Ed Gainey before the May 20 primary! #PittsburghMayoralRace2025🗳️"""
https://www.publicsource.org/reuben-brock-essay-autism-psychologist-professor-penn-west/,Pittsburgh,North Side,East Allegheny,"""Overcoming life's hurdles as an autistic, now a professor. Could an earlier diagnosis have changed my journey? Discover my story."" #AutismAwareness #SpecialCanBeSuccessful"
https://www.publicsource.org/bukit-bail-fund-allegheny-county-jail-frank-smart-corrections-pittsburgh/,Pittsburgh,Central Pittsburgh,Golden Triangle,"""Remembering Bukit: 10 years on, his legacy is freeing others from jail and fighting food insecurity. Discover the impact of Pittsburgh's Bukit Bail Fund."""
https://www.publicsource.org/design-pittsburgh-future-architects-trust/,Pittsburgh,"Upper East End, Lower East End","East Liberty, Morningside, Larimer, Bloomfield, Shadyside","""From industrial past to tech-focused future, Pittsburgh's evolving skyline promises a new era of trust and change. Discover the city's architectural revolution! 🏙️🔧🚀"""
https://www.publicsource.org/publicsource-internships-100-journalists-pittsburgh/,Pittsburgh,Central Pittsburgh,Golden Triangle,"""Join the ranks of 100+ budding journalists honed by PublicSource's internships, cultivating the future of deep, independent journalism for over a decade."""
https://www.publicsource.org/high-school-transition-disability-iep-down-syndrome-employment-pennsylvania-job-one/,Pittsburgh,Central Pittsburgh,Golden Triangle,"""Varied transitions to adulthood for Pennsylvania teens with disabilities sparks state push for change in 500 school districts. #Inclusion #EducationEquality"""
https://www.publicsource.org/timeline-astrobotics-cmu-nasa-moon-lunar-mission-griffin/,Pittsburgh,North Side,Chateau,"""From CMU spinout to NASA's trusted partner, Pittsburgh's Astrobotic is launching the lunar economy right from our backyard! 🚀🌙 #SpacePittsburgh"""
https://www.publicsource.org/pittsburgh-allegheny-county-election-2025-gainey-oconnor-candidate-list/,Pittsburgh,North Side,East Allegheny,"""Who will shape Pittsburgh's future? Your vote counts! Mayor, Council, and School Board seats up for grabs in 2025's thrilling election year! #PittsburghVotes"""
https://www.publicsource.org/pittsburgh-mayor-gainey-upmc-negotiation-deal-nonprofit-contributions-allegheny-county/,Pittsburgh,North Side,East Allegheny,"""Did Mayor Gainey nearly score a $125M deal with UPMC, only to back out on sharing the funds? UPMC says no deal existed. Stay tuned!"""
https://www.publicsource.org/climate-resilient-urban-planning-pittsburgh-duluth/,Pittsburgh,"Upper East End, Central Pittsburgh, South Pittsburgh","East Liberty, Strip District, Mount Washington","""From the vibrant streets of Barcelona to the changing landscapes of Pittsburgh, see how climate migration is transforming my hometown. #ClimateChange #UrbanPlanning"""
https://www.publicsource.org/trump-administration-higher-education-funding-orders-university-pittsburgh-pitt-cmu-timeline/,Pittsburgh,North Side,Perry North,"""Pittsburgh's higher ed adapts as Trump's federal changes roll out. See how Pitt and other local universities are taking action. Stay tuned for updates!"""
https://www.publicsource.org/opioid-orphans-grandparents-struggle-to-raise-children-left-behind/,Pittsburgh,Upper East End,Friendship,"""Opioid orphans, grandparents striving: who's helping those left behind in the opioid crisis? Find out more on #MindSiteNews. #opioidcrisis #grandparentsraisinggrandchildren"""
https://www.publicsource.org/prt-pittsburgh-regional-transit-bus-service-cuts-fare-hikes-budget/,"Pittsburgh, Allegheny County, Beaver County, Westmoreland County",South Pittsburgh,"Troy Hill, Spring Garden, East Allegheny, Marshall-Shadeland, Brighton Heights, Bellevue, Avalon, Ben Avon, Manchester, Allegheny West, , Emsworth, Sheraden, Kennedy Township, McKees Rocks, Elliott, Crafton, Ingram, Westwood, Robinson Township, Carnegie, Banksville, Dormont, Mt. Lebanon, Green Tree, Brookline, Beechview, Mount Washington, Duquesne Heights, Scott Township, Bridgeville, , Allentown, Carrick, Overbrook, West Mifflin, Munhall, West Homestead, Homestead, Greenfield, Squirrel Hill South, Squirrel Hill, Shaler, Etna","""Steep cuts to Allegheny County's bus and T services loom on the horizon amid stagnant state funding, threatening the largest reduction in 25 years!"""
https://www.publicsource.org/conservatorship-case-north-side-east-hills-pittsburgh-rising-tide-partners-superior-court/,Pittsburgh,"Upper East End, North Side","East Hills, Central Northside, Mexican War Streets",A developer's battle for conservatorship of a Pittsburgh property sparks debate on the legal power of private parties to commandeer real estate. #PittsburghPropertyWars
https://www.publicsource.org/pittsburgh-neighborhoods-youtube-videos-portland-oregon/,Pittsburgh,"Central Pittsburgh, North Side","Dormont, Manchester, Sharpsburg","""Experience Pittsburgh's unique neighborhoods through the lens of a local filmmaker before his heartfelt departure to Portland. #PittsburghToPortland #DeanBogJourney"""
https://www.publicsource.org/prt-pittsburgh-regional-transit-bus-route-cuts-funding-state-budget/,"Pittsburgh, Allegheny County, Beaver County, Westmoreland County","South Pittsburgh, North Side, Lower East End","Troy Hill, Spring Garden, East Allegheny, Marshall-Shadeland, Brighton Heights, Bellevue, Avalon, Ben Avon, Manchester, Allegheny West, , Emsworth, Sheraden, Kennedy Township, McKees Rocks, Elliott, Crafton, Ingram, Westwood, Robinson Township, Carnegie, Banksville, Dormont, Mt. Lebanon, Green Tree, Brookline, Beechview, Mount Washington, Duquesne Heights, Scott Township, Bridgeville, , Allentown, Carrick, Overbrook, West Mifflin, Munhall, West Homestead, Homestead, Greenfield, Squirrel Hill South, Squirrel Hill, Shaler, Etna","""Say goodbye to 41 transit lines in Allegheny County? Without state funding, Pittsburgh's bus network faces drastic cuts and fare hikes. #SaveOurBuses 🚌"""
https://www.publicsource.org/summer-lee-pittsburgh-town-hall-meeting-democrats-donald-trump-elon-musk/,"Pittsburgh, Allegheny County, Beaver County, Westmoreland County",Central Pittsburgh,Swissvale,"""Rep. Summer Lee rallies Pittsburgh residents against Trump and Musk at a packed town hall - calls for bold action from Democrats. #PittsburghTownHall"""
